Passport,Destination,PI,HPI
Iceland,Angola,visa on arrival,visa required
Iceland,Djibouti,e-visa,visa on arrival
Iceland,Guyana,visa on arrival,visa required
Iceland,Iran,e-visa,visa on arrival
Iceland,Nigeria,visa on arrival,visa required
Iceland,Sierra Leone,visa on arrival,visa required
India,Angola,visa on arrival,visa required
India,Djibouti,e-visa,visa on arrival
India,Gabon,e-visa,visa on arrival
India,Gambia,90,visa required
India,Guyana,visa on arrival,visa required
India,Iran,e-visa,visa on arrival
India,Mongolia,visa on arrival,visa required
India,Mozambique,e-visa,visa on arrival
India,Myanmar,e-visa,visa on arrival
India,Nigeria,visa on arrival,visa required
India,Oman,e-visa,visa free
India,Palestine,visa free,visa required
India,Sri Lanka,e-visa,visa on arrival
India,Suriname,90,visa required
India,Tunisia,visa required,visa free
Indonesia,Angola,visa on arrival,visa required
Indonesia,Armenia,e-visa,visa on arrival
Indonesia,Azerbaijan,e-visa,visa on arrival
Indonesia,Bangladesh,visa on arrival,visa required
Indonesia,Bolivia,visa on arrival,visa required
Indonesia,Djibouti,e-visa,visa on arrival
Indonesia,Gabon,e-visa,visa on arrival
Indonesia,Iran,e-visa,visa on arrival
Indonesia,Japan,visa required,visa free
Indonesia,Nigeria,visa on arrival,visa required
Indonesia,Palestine,visa free,visa required
Indonesia,Venezuela,90,visa required
Iran,Angola,visa on arrival,visa required
Iran,Azerbaijan,e-visa,visa on arrival
Iran,Djibouti,e-visa,visa on arrival
Iran,Ecuador,e-visa,visa free
Iran,Guyana,visa on arrival,visa required
Iran,Iraq,30,visa required
Iran,Libya,no admission,visa required
Iran,Mauritius,visa required,visa on arrival
Iran,Nigeria,visa on arrival,visa required
Iran,Syria,visa required,visa on arrival
Iraq,Angola,visa on arrival,visa required
Iraq,Azerbaijan,covid ban,visa required
Iraq,Bolivia,visa on arrival,visa required
Iraq,Djibouti,e-visa,visa on arrival
Iraq,Guyana,visa on arrival,visa required
Iraq,Nigeria,visa on arrival,visa required
Iraq,Sierra Leone,visa on arrival,visa required
Iraq,Zambia,90,visa required
Ireland,Angola,visa on arrival,visa required
Ireland,Djibouti,e-visa,visa on arrival
Ireland,Gabon,e-visa,visa on arrival
Ireland,Iran,e-visa,visa on arrival
Ireland,Myanmar,e-visa,visa on arrival
Ireland,Nigeria,visa on arrival,visa required
Israel,Algeria,no admission,visa required
Israel,Angola,visa on arrival,visa required
Israel,Bangladesh,no admission,visa required
Israel,Bolivia,visa on arrival,visa required
Israel,Brunei,no admission,visa required
Israel,Djibouti,e-visa,visa on arrival
Israel,Guyana,visa on arrival,visa required
Israel,Iran,no admission,visa required
Israel,Lebanon,no admission,visa required
Israel,Libya,no admission,visa required
Israel,Malaysia,no admission,visa required
Israel,Myanmar,e-visa,visa on arrival
Israel,Nigeria,visa on arrival,visa required
Israel,Pakistan,no admission,visa required
Israel,Saudi Arabia,no admission,visa required
Israel,Syria,no admission,visa required
Israel,Yemen,no admission,visa required
Italy,Angola,visa on arrival,visa required
Italy,Djibouti,e-visa,visa on arrival
Italy,Gabon,e-visa,visa on arrival
Italy,Iran,e-visa,visa on arrival
Italy,Myanmar,e-visa,visa on arrival
Italy,Nigeria,visa on arrival,visa required
Italy,South Korea,e-visa,visa free
Jamaica,Angola,visa on arrival,visa required
Jamaica,Armenia,e-visa,visa on arrival
Jamaica,Azerbaijan,covid ban,visa required
Jamaica,Djibouti,e-visa,visa on arrival
Jamaica,Iran,e-visa,visa on arrival
Jamaica,Nigeria,visa on arrival,visa required
Jamaica,Turkey,visa on arrival,visa required
Japan,Angola,visa on arrival,visa required
Japan,China,covid ban,visa required
Japan,Djibouti,e-visa,visa on arrival
Japan,Gabon,e-visa,visa on arrival
Japan,Iran,e-visa,visa on arrival
Japan,Myanmar,e-visa,visa on arrival
Japan,Nigeria,visa on arrival,visa required
Japan,South Korea,e-visa,visa free
Jordan,Angola,visa on arrival,visa required
Jordan,Djibouti,e-visa,visa on arrival
Jordan,Guyana,visa on arrival,visa required
Jordan,Nigeria,visa on arrival,visa required
Jordan,Oman,e-visa,visa free
Jordan,Sierra Leone,visa on arrival,visa required
Jordan,Saint Vincent and the Grenadines,visa required,visa free
Kazakhstan,Angola,visa on arrival,visa required
Kazakhstan,China,visa required,visa free
Kazakhstan,Djibouti,e-visa,visa on arrival
Kazakhstan,Gambia,90,visa required
Kazakhstan,Guyana,visa on arrival,visa required
Kazakhstan,Lebanon,visa required,visa on arrival
Kazakhstan,Montenegro,30,visa required
Kazakhstan,Nigeria,visa on arrival,visa required
Kazakhstan,Palestine,visa free,visa required
Kazakhstan,Sierra Leone,visa on arrival,visa required
Kazakhstan,Syria,visa required,visa on arrival
Kenya,Angola,visa on arrival,visa required
Kenya,Azerbaijan,covid ban,visa required
Kenya,Djibouti,e-visa,visa free
Kenya,Guyana,visa on arrival,visa required
Kenya,Indonesia,visa required,visa on arrival
Kenya,Iran,e-visa,visa on arrival
Kenya,Mali,visa required,visa on arrival
Kenya,Suriname,90,visa required
Kiribati,Angola,visa on arrival,visa required
Kiribati,Armenia,e-visa,visa on arrival
Kiribati,Azerbaijan,covid ban,visa required
Kiribati,Djibouti,e-visa,visa on arrival
Kiribati,Guyana,visa on arrival,visa required
Kiribati,Iran,e-visa,visa on arrival
Kiribati,Nigeria,visa on arrival,visa required
Kiribati,Palestine,visa free,visa required
Kosovo,Angola,visa on arrival,visa required
Kosovo,Antigua and Barbuda,90,visa required
Kosovo,Armenia,no admission,visa required
Kosovo,Azerbaijan,covid ban,visa required
Kosovo,Cambodia,visa on arrival,visa required
Kosovo,Djibouti,e-visa,visa on arrival
Kosovo,Guyana,visa on arrival,visa required
Kosovo,Iran,e-visa,visa on arrival
Kosovo,Nigeria,visa on arrival,visa required
Kosovo,Palestine,visa free,visa required
Kosovo,Seychelles,no admission,visa on arrival
Kosovo,Sierra Leone,visa on arrival,visa required
Kuwait,Angola,visa on arrival,visa required
Kuwait,Djibouti,e-visa,visa on arrival
Kuwait,Gabon,e-visa,visa on arrival
Kuwait,Guyana,visa on arrival,visa required
Kuwait,Iran,e-visa,visa on arrival
Kuwait,Nigeria,visa on arrival,visa required
Kuwait,Palestine,visa free,visa required
Kuwait,United Kingdom,e-visa,visa free
Kuwait,Zambia,90,visa required
Kyrgyzstan,Angola,visa on arrival,visa required
Kyrgyzstan,Azerbaijan,covid ban,visa free
Kyrgyzstan,Djibouti,e-visa,visa on arrival
Kyrgyzstan,Guyana,visa on arrival,visa required
Kyrgyzstan,Iran,e-visa,visa on arrival
Kyrgyzstan,Nigeria,visa on arrival,visa required
Kyrgyzstan,Oman,e-visa,visa free
Kyrgyzstan,Palestine,visa free,visa required
Kyrgyzstan,Sierra Leone,visa on arrival,visa required
Kyrgyzstan,Syria,visa required,visa on arrival
Laos,Angola,visa on arrival,visa required
Laos,Armenia,e-visa,visa on arrival
Laos,Azerbaijan,covid ban,visa required
Laos,Bolivia,visa on arrival,visa required
Laos,Djibouti,e-visa,visa on arrival
Laos,Guyana,visa on arrival,visa required
Laos,Iran,e-visa,visa on arrival
Laos,Nigeria,visa on arrival,visa required
Laos,Oman,e-visa,visa free
Laos,Palestine,visa free,visa required
Laos,Sierra Leone,visa on arrival,visa required
Latvia,Angola,visa on arrival,visa required
Latvia,Djibouti,e-visa,visa on arrival
Latvia,Gabon,e-visa,visa on arrival
Latvia,Guyana,visa on arrival,visa required
Latvia,Iran,e-visa,visa on arrival
Latvia,Myanmar,e-visa,visa on arrival
Latvia,Nigeria,visa on arrival,visa required
Lebanon,Angola,visa on arrival,visa required
Lebanon,Azerbaijan,covid ban,visa required
Lebanon,Djibouti,e-visa,visa on arrival
Lebanon,Guyana,visa on arrival,visa required
Lebanon,Nigeria,visa on arrival,visa required
Lebanon,Palestine,visa free,visa required
Lebanon,Sierra Leone,visa on arrival,visa required
Lesotho,Angola,visa on arrival,visa required
Lesotho,Azerbaijan,covid ban,visa required
Lesotho,Djibouti,e-visa,visa on arrival
Lesotho,Ethiopia,e-visa,visa on arrival
Lesotho,Iran,e-visa,visa on arrival
Liberia,Angola,visa on arrival,visa required
Liberia,Azerbaijan,covid ban,visa required
Liberia,Djibouti,e-visa,visa on arrival
Liberia,Ethiopia,e-visa,visa on arrival
Liberia,Guyana,visa on arrival,visa required
Liberia,Iran,e-visa,visa on arrival
Libya,Angola,visa on arrival,visa required
Libya,Azerbaijan,covid ban,visa required
Libya,Bolivia,visa on arrival,visa required
Libya,Djibouti,e-visa,visa on arrival
Libya,Ethiopia,e-visa,visa on arrival
Libya,Guyana,visa on arrival,visa required
Libya,Iran,e-visa,visa on arrival
Libya,Palestine,visa free,visa required
Libya,Sierra Leone,visa on arrival,visa required
Liechtenstein,Angola,visa on arrival,visa required
Liechtenstein,Azerbaijan,covid ban,visa required
Liechtenstein,Djibouti,e-visa,visa on arrival
Liechtenstein,Swaziland,30,visa required
Liechtenstein,Guyana,visa on arrival,visa required
Liechtenstein,Iran,e-visa,visa on arrival
Liechtenstein,Nigeria,visa on arrival,visa required
Liechtenstein,Sierra Leone,visa on arrival,visa required
Lithuania,Angola,visa on arrival,visa required
Lithuania,Djibouti,e-visa,visa on arrival
Lithuania,Gabon,e-visa,visa on arrival
Lithuania,Ghana,visa on arrival,visa required
Lithuania,Guyana,visa on arrival,visa required
Lithuania,Iran,e-visa,visa on arrival
Lithuania,Myanmar,e-visa,visa on arrival
Lithuania,Nigeria,visa on arrival,visa required
Luxembourg,Angola,visa on arrival,visa required
Luxembourg,Djibouti,e-visa,visa on arrival
Luxembourg,Gabon,e-visa,visa on arrival
Luxembourg,Iran,e-visa,visa on arrival
Luxembourg,Myanmar,e-visa,visa on arrival
Luxembourg,Nigeria,visa on arrival,visa required
Macao,Angola,visa on arrival,visa required
Macao,Azerbaijan,covid ban,visa required
Macao,China,visa free,visa required
Macao,Djibouti,e-visa,visa on arrival
Macao,Guyana,visa on arrival,visa required
Macao,Indonesia,visa required,visa on arrival
Macao,Nigeria,visa on arrival,visa required
Macao,South Korea,e-visa,visa free
Macao,Ukraine,30,visa required
Macao,Uzbekistan,e-visa,visa free
Madagascar,Angola,visa on arrival,visa required
Madagascar,Antigua and Barbuda,visa free,visa required
Madagascar,Azerbaijan,covid ban,visa required
Madagascar,Djibouti,e-visa,visa on arrival
Madagascar,Ethiopia,e-visa,visa on arrival
Madagascar,Guyana,visa on arrival,visa required
Madagascar,Iran,e-visa,visa on arrival
Madagascar,Sierra Leone,visa on arrival,visa required
Malawi,Angola,visa on arrival,visa required
Malawi,Azerbaijan,covid ban,visa required
Malawi,Djibouti,e-visa,visa on arrival
Malawi,Ethiopia,e-visa,visa on arrival
Malawi,Guyana,visa on arrival,visa required
Malawi,Iran,e-visa,visa on arrival
Malaysia,Angola,visa on arrival,visa required
Malaysia,Armenia,e-visa,visa on arrival
Malaysia,Djibouti,e-visa,visa on arrival
Malaysia,Myanmar,e-visa,visa on arrival
Malaysia,Nigeria,visa on arrival,visa required
Malaysia,Palestine,visa free,visa required
Malaysia,Syria,visa required,visa on arrival
Maldives,Angola,visa on arrival,visa required
Maldives,Armenia,visa required,visa on arrival
Maldives,Djibouti,e-visa,visa on arrival
Maldives,Egypt,visa required,visa on arrival
Maldives,Guyana,visa on arrival,visa required
Maldives,Iran,e-visa,visa on arrival
Maldives,Kazakhstan,30,visa required
Maldives,Kyrgyzstan,e-visa,visa free
Maldives,Nigeria,visa on arrival,visa required
Maldives,Oman,e-visa,visa free
Maldives,Palestine,visa free,visa required
Maldives,Sierra Leone,visa on arrival,visa required
Maldives,Sri Lanka,e-visa,visa free
Maldives,Turkey,visa on arrival,visa required
Maldives,Venezuela,90,visa required
Mali,Angola,visa on arrival,visa required
Mali,Azerbaijan,covid ban,visa required
Mali,Djibouti,e-visa,visa on arrival
Mali,Ecuador,e-visa,visa free
Mali,Ethiopia,e-visa,visa on arrival
Mali,Guyana,visa on arrival,visa required
Mali,Iran,e-visa,visa on arrival
Mali,Kenya,visa on arrival,visa required
Mali,Morocco,e-visa,visa free
Malta,Angola,visa on arrival,visa required
Malta,Djibouti,e-visa,visa on arrival
Malta,Gabon,e-visa,visa on arrival
Malta,Guyana,visa on arrival,visa required
Malta,Iran,e-visa,visa on arrival
Malta,Lesotho,visa required,visa free
Malta,Myanmar,e-visa,visa on arrival
Malta,Nigeria,visa on arrival,visa required
Marshall Islands,Angola,visa on arrival,visa required
Marshall Islands,Armenia,e-visa,visa on arrival
Marshall Islands,Azerbaijan,covid ban,visa required
Marshall Islands,Djibouti,e-visa,visa on arrival
Marshall Islands,Guyana,visa on arrival,visa required
Marshall Islands,Iran,e-visa,visa on arrival
Marshall Islands,Nigeria,visa on arrival,visa required
Marshall Islands,Palestine,visa free,visa required
Marshall Islands,Sierra Leone,visa on arrival,visa required
Mauritania,Angola,visa on arrival,visa required
Mauritania,Azerbaijan,covid ban,visa required
Mauritania,Djibouti,e-visa,visa on arrival
Mauritania,Ethiopia,e-visa,visa on arrival
Mauritania,Guyana,visa on arrival,visa required
Mauritania,Iran,e-visa,visa on arrival
Mauritania,Namibia,visa required,visa on arrival
Mauritania,Oman,e-visa,visa free
Mauritius,Azerbaijan,visa on arrival,visa required
Mauritius,Djibouti,e-visa,visa on arrival
Mauritius,Ethiopia,e-visa,visa on arrival
Mauritius,Guyana,visa on arrival,visa required
Mauritius,Iran,e-visa,visa on arrival
Mauritius,Turkey,visa on arrival,visa required
Mexico,Angola,visa on arrival,visa required
Mexico,Djibouti,e-visa,visa on arrival
Mexico,Gabon,e-visa,visa on arrival
Mexico,Guyana,visa on arrival,visa required
Mexico,Iran,e-visa,visa on arrival
Mexico,Nigeria,visa on arrival,visa required
Mexico,Oman,e-visa,visa free
Mexico,Sierra Leone,visa on arrival,visa required
Mexico,Zimbabwe,e-visa,visa on arrival
Micronesia,Angola,visa on arrival,visa required
Micronesia,Armenia,e-visa,visa on arrival
Micronesia,Azerbaijan,covid ban,visa required
Micronesia,Djibouti,e-visa,visa on arrival
Micronesia,Guyana,visa on arrival,visa required
Micronesia,Iran,e-visa,visa on arrival
Micronesia,Jordan,visa required,visa on arrival
Micronesia,Nigeria,visa on arrival,visa required
Micronesia,Sierra Leone,visa on arrival,visa required
Moldova,Angola,visa on arrival,visa required
Moldova,Djibouti,e-visa,visa on arrival
Moldova,Gambia,90,visa required
Moldova,Guyana,visa on arrival,visa required
Moldova,Iran,e-visa,visa on arrival
Moldova,Nigeria,visa on arrival,visa required
Moldova,Sierra Leone,visa on arrival,visa required
Moldova,Syria,visa required,visa on arrival
Monaco,Angola,visa on arrival,visa required
Monaco,Azerbaijan,covid ban,visa required
Monaco,Djibouti,e-visa,visa on arrival
Monaco,Egypt,visa on arrival,visa required
Monaco,Guyana,visa on arrival,visa required
Monaco,Iran,e-visa,visa on arrival
Monaco,Nigeria,visa on arrival,visa required
Monaco,Sierra Leone,visa on arrival,visa required
Mongolia,Angola,visa on arrival,visa required
Mongolia,Armenia,e-visa,visa on arrival
Mongolia,China,30,visa required
Mongolia,Djibouti,e-visa,visa on arrival
Mongolia,Guyana,visa on arrival,visa required
Mongolia,Iran,e-visa,visa on arrival
Mongolia,Nigeria,visa on arrival,visa required
Mongolia,Peru,90,visa required
Mongolia,Sierra Leone,visa on arrival,visa required
Montenegro,Angola,visa on arrival,visa required
Montenegro,Barbados,90,visa required
Montenegro,Djibouti,e-visa,visa on arrival
Montenegro,Guyana,visa on arrival,visa required
Montenegro,Iran,e-visa,visa on arrival
Montenegro,Nigeria,visa on arrival,visa required
Montenegro,Oman,visa on arrival,visa required
Montenegro,Sierra Leone,visa on arrival,visa required
Morocco,Angola,visa on arrival,visa required
Morocco,Burkina Faso,visa free,visa required
Morocco,Djibouti,e-visa,visa on arrival
Morocco,Ethiopia,e-visa,visa on arrival
Morocco,Guyana,visa on arrival,visa required
Morocco,Iran,e-visa,visa on arrival
Morocco,Oman,e-visa,visa free
Morocco,Palestine,visa free,visa required
Morocco,Sierra Leone,visa on arrival,visa required
Mozambique,Azerbaijan,covid ban,visa required
Mozambique,Djibouti,e-visa,visa on arrival
Mozambique,Ethiopia,e-visa,visa on arrival
Mozambique,Guyana,visa on arrival,visa required
Mozambique,Iran,e-visa,visa on arrival
Mozambique,Kenya,e-visa,visa free
Mozambique,Lesotho,visa required,visa free
Myanmar,Angola,visa on arrival,visa required
Myanmar,Armenia,e-visa,visa on arrival
Myanmar,Azerbaijan,covid ban,visa required
Myanmar,Djibouti,e-visa,visa on arrival
Myanmar,Ecuador,e-visa,visa free
Myanmar,Guyana,visa on arrival,visa required
Myanmar,Iran,e-visa,visa on arrival
Myanmar,Nigeria,visa on arrival,visa required
Myanmar,Sierra Leone,visa on arrival,visa required
Namibia,Azerbaijan,covid ban,visa required
Namibia,Djibouti,e-visa,visa on arrival
Namibia,Ethiopia,e-visa,visa on arrival
Namibia,Guyana,visa on arrival,visa required
Namibia,Iran,e-visa,visa on arrival
Namibia,United Kingdom,180,visa required
Nauru,Angola,visa on arrival,visa required
Nauru,Armenia,e-visa,visa on arrival
Nauru,Azerbaijan,covid ban,visa required
Nauru,Djibouti,e-visa,visa on arrival
Nauru,Guyana,visa on arrival,visa required
Nauru,Iran,e-visa,visa on arrival
Nauru,Nigeria,visa on arrival,visa required
Nepal,Angola,visa on arrival,visa required
Nepal,Azerbaijan,visa on arrival,visa required
Nepal,Djibouti,e-visa,visa on arrival
Nepal,Guyana,visa on arrival,visa required
Nepal,Myanmar,e-visa,visa on arrival
Nepal,Nigeria,visa on arrival,visa required
Nepal,Palestine,visa free,visa required
Nepal,Sierra Leone,visa on arrival,visa required
Nepal,Suriname,90,visa required
Netherlands,Angola,visa on arrival,visa required
Netherlands,Djibouti,e-visa,visa on arrival
Netherlands,Gabon,e-visa,visa on arrival
Netherlands,Iran,e-visa,visa on arrival
Netherlands,Myanmar,e-visa,visa on arrival
Netherlands,Nigeria,visa on arrival,visa required
Netherlands,South Korea,e-visa,visa free
New Zealand,Angola,visa on arrival,visa required
New Zealand,Djibouti,e-visa,visa on arrival
New Zealand,Iran,e-visa,visa on arrival
New Zealand,Myanmar,e-visa,visa on arrival
New Zealand,Nigeria,visa on arrival,visa required
New Zealand,South Korea,e-visa,visa free
Nicaragua,Angola,visa on arrival,visa required
Nicaragua,Armenia,e-visa,visa on arrival
Nicaragua,Azerbaijan,covid ban,visa required
Nicaragua,Djibouti,e-visa,visa on arrival
Nicaragua,Egypt,visa on arrival,visa required
Nicaragua,Guyana,visa on arrival,visa required
Nicaragua,Iran,e-visa,visa on arrival
Nicaragua,Kosovo,visa required,visa free
Nicaragua,Malawi,visa on arrival,visa required
Nicaragua,Nigeria,visa on arrival,visa required
Nicaragua,Oman,e-visa,visa free
Nicaragua,Palestine,visa free,visa required
Nicaragua,Sierra Leone,visa on arrival,visa required
Niger,Angola,visa on arrival,visa required
Niger,Azerbaijan,covid ban,visa required
Niger,Djibouti,e-visa,visa on arrival
Niger,Ethiopia,e-visa,visa on arrival
Niger,Guyana,visa on arrival,visa required
Niger,Iran,e-visa,visa on arrival
Niger,Namibia,visa required,visa on arrival
Nigeria,Angola,visa on arrival,visa required
Nigeria,Azerbaijan,covid ban,visa required
Nigeria,Bolivia,visa on arrival,visa required
Nigeria,Djibouti,e-visa,visa on arrival
Nigeria,Ethiopia,e-visa,visa on arrival
Nigeria,Guyana,visa on arrival,visa required
Nigeria,Iran,e-visa,visa on arrival
Nigeria,Namibia,visa on arrival,visa required
Nigeria,Seychelles,90,visa required
Nigeria,Sri Lanka,visa required,e-visa
Nigeria,Suriname,90,visa required
North Korea,Angola,visa on arrival,visa required
North Korea,Azerbaijan,covid ban,visa required
North Korea,Bolivia,visa on arrival,visa required
North Korea,Djibouti,e-visa,visa on arrival
North Korea,Iran,e-visa,visa on arrival
North Korea,Japan,no admission,visa required
North Korea,Myanmar,visa required,visa on arrival
North Korea,Nigeria,visa on arrival,visa required
North Korea,Palestine,visa free,visa required
North Korea,Sierra Leone,visa on arrival,visa required
North Korea,Sri Lanka,no admission,visa required
North Macedonia,Angola,visa on arrival,visa required
North Macedonia,Antigua and Barbuda,180,visa required
North Macedonia,Azerbaijan,visa on arrival,visa required
North Macedonia,Djibouti,e-visa,visa on arrival
North Macedonia,Georgia,90,visa required
North Macedonia,Guyana,visa on arrival,visa required
North Macedonia,Iran,e-visa,visa on arrival
North Macedonia,Nigeria,visa on arrival,visa required
North Macedonia,Russia,30,visa required
North Macedonia,Sierra Leone,visa on arrival,visa required
Norway,Angola,visa on arrival,visa required
Norway,Djibouti,e-visa,visa on arrival
Norway,Iran,e-visa,visa on arrival
Norway,Myanmar,e-visa,visa on arrival
Norway,Nigeria,visa on arrival,visa required
Norway,South Korea,e-visa,visa free
Oman,Albania,visa required,visa free
Oman,Angola,visa on arrival,visa required
Oman,Colombia,e-visa,visa free
Oman,Djibouti,e-visa,visa on arrival
Oman,Gabon,e-visa,visa on arrival
Oman,Guyana,visa on arrival,visa required
Oman,Nigeria,visa on arrival,visa required
Oman,Palestine,visa free,visa required
Oman,Turkey,visa on arrival,visa required
Oman,Zambia,90,visa required
Pakistan,Angola,visa on arrival,visa required
Pakistan,Bolivia,visa on arrival,visa required
Pakistan,Djibouti,e-visa,visa on arrival
Pakistan,Gambia,90,visa required
Pakistan,Guyana,visa on arrival,visa required
Pakistan,Libya,no admission,visa required
Pakistan,Mozambique,e-visa,visa on arrival
Pakistan,Nigeria,visa on arrival,visa required
Pakistan,Sri Lanka,visa required,e-visa
Pakistan,Suriname,90,visa required
Palau,Angola,visa on arrival,visa required
Palau,Armenia,e-visa,visa on arrival
Palau,Azerbaijan,covid ban,visa required
Palau,Djibouti,e-visa,visa on arrival
Palau,Guyana,visa on arrival,visa required
Palau,Iran,e-visa,visa on arrival
Palau,Nigeria,visa on arrival,visa required
Palau,Sierra Leone,visa on arrival,visa required
Palestine,Angola,visa on arrival,visa required
Palestine,Azerbaijan,covid ban,visa required
Palestine,Djibouti,e-visa,visa on arrival
Palestine,Guyana,visa on arrival,visa required
Palestine,Iran,e-visa,visa on arrival
Palestine,Madagascar,visa on arrival,visa required
Palestine,Nepal,visa on arrival,visa required
Palestine,Nigeria,visa on arrival,visa required
Palestine,Sierra Leone,visa on arrival,visa required
Palestine,Saint Vincent and the Grenadines,visa required,visa free
Panama,Angola,visa on arrival,visa required
Panama,Djibouti,e-visa,visa on arrival
Panama,Indonesia,visa required,visa on arrival
Panama,Iran,e-visa,visa on arrival
Panama,Nigeria,visa on arrival,visa required
Panama,Oman,e-visa,visa free
Panama,Sierra Leone,visa on arrival,visa required
Panama,Solomon Islands,visa required,visa on arrival
Panama,Vietnam,90,visa required
Papua New Guinea,Angola,visa on arrival,visa required
Papua New Guinea,Armenia,e-visa,visa on arrival
Papua New Guinea,Azerbaijan,covid ban,visa required
Papua New Guinea,Djibouti,e-visa,visa on arrival
Papua New Guinea,Guyana,visa on arrival,visa required
Papua New Guinea,Iran,e-visa,visa on arrival
Papua New Guinea,Malawi,visa on arrival,visa required
Papua New Guinea,Nigeria,visa on arrival,visa required
Paraguay,Angola,visa on arrival,visa required
Paraguay,Armenia,e-visa,visa on arrival
Paraguay,Azerbaijan,visa on arrival,visa required
Paraguay,Djibouti,e-visa,visa on arrival
Paraguay,Georgia,e-visa,visa free
Paraguay,Guyana,visa on arrival,visa required
Paraguay,Iran,e-visa,visa on arrival
Paraguay,Lebanon,visa on arrival,visa required
Paraguay,Nigeria,visa on arrival,visa required
Paraguay,Sierra Leone,visa on arrival,visa required
Peru,Angola,visa on arrival,visa required
Peru,Djibouti,e-visa,visa on arrival
Peru,Iran,e-visa,visa on arrival
Peru,Nigeria,visa on arrival,visa required
Peru,Oman,e-visa,visa free
Peru,Sierra Leone,visa on arrival,visa required
Peru,United Arab Emirates,90,visa required
Philippines,Angola,visa on arrival,visa required
Philippines,Armenia,e-visa,visa on arrival
Philippines,Azerbaijan,covid ban,visa required
Philippines,Djibouti,e-visa,visa on arrival
Philippines,Guyana,visa on arrival,visa required
Philippines,Iran,e-visa,visa on arrival
Philippines,Nigeria,visa on arrival,visa required
Philippines,Sierra Leone,visa on arrival,visa required
Poland,Angola,visa on arrival,visa required
Poland,Djibouti,e-visa,visa on arrival
Poland,Gabon,e-visa,visa on arrival
Poland,Guyana,visa on arrival,visa required
Poland,Iran,e-visa,visa on arrival
Poland,Myanmar,e-visa,visa on arrival
Poland,Nigeria,visa on arrival,visa required
Poland,South Korea,e-visa,visa free
Portugal,Angola,visa on arrival,visa required
Portugal,Djibouti,e-visa,visa on arrival
Portugal,Gabon,e-visa,visa on arrival
Portugal,Iran,e-visa,visa on arrival
Portugal,Myanmar,e-visa,visa on arrival
Portugal,Nigeria,visa on arrival,visa required
Qatar,Albania,visa required,visa free
Qatar,Angola,visa on arrival,visa required
Qatar,Djibouti,e-visa,visa on arrival
Qatar,Egypt,180,visa required
Qatar,Gabon,e-visa,visa on arrival
Qatar,Guyana,visa on arrival,visa required
Qatar,Iran,e-visa,visa on arrival
Qatar,Japan,visa required,visa free
Qatar,Nigeria,visa on arrival,visa required
Qatar,Palestine,visa free,visa required
Qatar,Uruguay,visa required,visa free
Qatar,Zambia,90,visa required
Romania,Angola,visa on arrival,visa required
Romania,Djibouti,e-visa,visa on arrival
Romania,Gabon,e-visa,visa on arrival
Romania,Guyana,visa on arrival,visa required
Romania,Iran,e-visa,visa on arrival
Romania,Myanmar,e-visa,visa on arrival
Romania,Nigeria,visa on arrival,visa required
Russia,Angola,visa on arrival,visa required
Russia,Bangladesh,visa on arrival,visa required
Russia,Djibouti,e-visa,visa on arrival
Russia,Gabon,e-visa,visa on arrival
Russia,Iran,e-visa,visa on arrival
Russia,Myanmar,e-visa,visa on arrival
Russia,Nigeria,visa on arrival,visa required
Russia,North Macedonia,visa required,visa free
Rwanda,Azerbaijan,covid ban,visa required
Rwanda,Bolivia,visa on arrival,visa required
Rwanda,Chad,90,visa required
Rwanda,Djibouti,e-visa,visa on arrival
Rwanda,Ethiopia,e-visa,visa on arrival
Rwanda,Guinea,visa free,visa required
Rwanda,Guyana,visa on arrival,visa required
Rwanda,Indonesia,visa required,visa on arrival
Rwanda,Iran,e-visa,visa on arrival
Rwanda,Palestine,visa free,visa required
Rwanda,South Sudan,e-visa,visa on arrival
Saint Kitts and Nevis,Angola,visa on arrival,visa required
Saint Kitts and Nevis,Armenia,e-visa,visa on arrival
Saint Kitts and Nevis,Azerbaijan,covid ban,visa required
Saint Kitts and Nevis,Belarus,30,visa required
Saint Kitts and Nevis,Djibouti,e-visa,visa on arrival
Saint Kitts and Nevis,Swaziland,visa required,visa free
Saint Kitts and Nevis,Georgia,e-visa,visa free
Saint Kitts and Nevis,Iran,e-visa,visa on arrival
Saint Kitts and Nevis,Nigeria,visa on arrival,visa required
Saint Lucia,Angola,visa on arrival,visa required
Saint Lucia,Armenia,e-visa,visa on arrival
Saint Lucia,Azerbaijan,covid ban,visa required
Saint Lucia,Djibouti,e-visa,visa on arrival
Saint Lucia,Iran,e-visa,visa on arrival
Saint Lucia,Nigeria,visa on arrival,visa required
Saint Lucia,Turkey,visa on arrival,visa required
Samoa,Angola,visa on arrival,visa required
Samoa,Armenia,visa required,visa on arrival
Samoa,Azerbaijan,covid ban,visa required
Samoa,Djibouti,e-visa,visa on arrival
Samoa,Guyana,visa on arrival,visa required
Samoa,Iran,e-visa,visa on arrival
Samoa,Nigeria,visa on arrival,visa required
Samoa,Pakistan,30,e-visa
Samoa,Palestine,visa free,visa required
San Marino,Angola,visa on arrival,visa required
San Marino,Azerbaijan,covid ban,visa required
San Marino,Belize,visa required,visa free
San Marino,Djibouti,e-visa,visa on arrival
San Marino,Guyana,visa on arrival,visa required
San Marino,Iran,e-visa,visa on arrival
San Marino,Nigeria,visa on arrival,visa required
